3FEB58,D-MYAZ,ZZZZ,,-0-,-
3FEC58,D-MZDY,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3FED58,D-MFKO,SKRA,BEST OFF Sky Ranger,L1P,L
3FEE58,D-MVDH,FDCT,FLIGHT DESIGN CT,L1P,L
3FEF58,D-MCCC,FK9,B&F TECHNIK FK-9,L1P,L
3FF258,D-MCKK,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
3FF358,D-MXWB,ULAC,,L0-,-
400C58,G-OAUD,R44,ROBINSON R-44 Raven,H1P,L
400D58,G-ECLD,A346,AIRBUS A-340-600,L4J,H
401158,G-GSMR,B06,BELL 206 JetRanger,H1T,L
401758,G-AVYS,P28R,PIPER PA-28R-180/200/201,L1P,L
401858,G-AXTC,P28A,PIPER PA-28-140/150/160/180,L1P,L
401958,G-AZKW,C172,CESSNA 172 Skyhawk,L1P,L
401A58,G-ABXL,ZZZZ,,-0-,-
401D58,G-BFZB,J3,PIPER J-3 Cub,L1P,L
402058,G-BKMB,M20P,MOONEY M-20,L1P,L
402358,G-ZIPI,DR40,ROBIN DR-400,L1P,L
402B58,G-SKNT,PTS2,PITTS S-2 Special,L1P,L
403258,G-BSTE,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
403F58,G-LSFT,P28A,PIPER PA-28-140/150/160/180,L1P,L
404158,G-CORB,TB20,SOCATA TB-20 Trinidad,L1P,L
404258,G-BYSI,RALL,SOCATA Rallye,L1P,L
404558,G-REED,ULAC,,L0-,-
404658,G-CBGE,ECHO,TECNAM P-92 Echo,L1P,L
404758,G-HELA,TOBA,SOCATA Tobago,L1P,L
404858,G-OGES,EN28,ENSTROM F-28,H1P,L
404958,G-CCEW,ULAC,,L0-,-
404A58,G-CCMZ,SKRA,BEST OFF Sky Ranger,L1P,L
404C58,G-CDAE,RV6,VANS RV-6,L1P,L
404D58,G-GGJK,DR40,ROBIN DR-400,L1P,L
405058,G-CEDI,SKRA,BEST OFF Sky Ranger,L1P,L
405158,G-CEJX,ULAC,,L0-,-
405358,ZJ165,AS65,AEROSPATIALE AS-365 Dauphin 2,H2T,L
405558,G-DCWE,GLID,,L0-,-
405858,G-KKEV,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
405958,G-CJDM,GLID,,L0-,-
405A58,G-DDFR,GLID,,L0-,-
405B58,G-CFGM,C42,IKARUS C-42 Bison,L1P,L
405D58,G-OCZA,CRUZ,CSA PS-28 Cruiser,L1P,L
405E58,G-IITC,CP23,MURDY CAP-230/1/2,L1P,L
406158,G-PTOO,B06,BELL 206 JetRanger,H1T,L
406258,G-PAFC,BALL,,B0-,-
406358,G-CGOG,EV97,EVEKTRO EV-97 EuroStar,L1P,L
406458,G-CGPY,ST75,STEARMAN Kaydet,L1P,L
406558,G-CGUT,BALL,,B0-,-
406858,G-VINB,A139,AGUSTA AW-139,H2T,L
406958,G-CIAM,P28A,PIPER PA-28-140/150/160/180,L1P,L
406A58,G-CLLC,GLID,,L0-,-
406B58,G-GATH,A320,AIRBUS A-320,L2J,M
406D58,G-CILH,C82R,CESSNA R182 Skylane RG,L1P,L
406E58,G-CIRW,C150,CESSNA 150,L1P,L
406F58,G-REIN,GLID,,L0-,-
407058,G-LEAT,BALL,,B0-,-
407158,G-CJHV,BALL,,B0-,-
407358,G-SFCM,PULR,P&M AVIATION PulsR,L1P,L
407758,G-ASEJ,P28A,PIPER PA-28-140/150/160/180,L1P,L
424458,VQ-BFS,B738,BOEING 737-800,L2J,M
424658,VP-BEC,E170,EMBRAER ERJ-170-100,L2J,M
424858,VP-CDS,A319,AIRBUS A-319,L2J,M
424B58,M-WAFA,FA8X,DASSAULT Falcon 8X,L3J,M
43C258,ZJ198,H64,MCDONNELL DOUGLAS AH-64 Apache,H2T,M
43C458,XX324,HAWK,BRITISH AEROSPACE T-45 Goshawk,L1J,M
43C558,ZK021,HAWK,BRITISH AEROSPACE T-45 Goshawk,L1J,M
43CB58,ZZ511,LYNX,AGUSTAWESTLAND AW-159 Super Lynx,H2T,L
43EA58,M-ILAN,E135,EMBRAER ERJ-135,L2J,M
43EC58,2-RLAX,A332,AIRBUS A-330-200,L2J,H
43ED58,2-TAKA,EA50,ECLIPSE 550,L2J,L
440158,OE-9446,DIMO,DIAMOND H-36 Dimona,L1P,L
440258,OE-FMB,DA42,DIAMOND DA-42 Guardian,L2P,L
440358,OE-FGC,C25M,CESSNA 525 Citation M2,L2J,L
440458,OE-XPV,R22,ROBINSON R-22 Mariner,H1P,L
440658,OE-GTI,C25C,CESSNA 525C Citation CJ4,L2J,M
440758,OE-9479,DIMO,DIAMOND H-36 Dimona,L1P,L
440B58,OE-INC,A333,AIRBUS A-330-300,L2J,H
440C58,OE-HCY,F2TH,DASSAULT Falcon 2000,L2J,M
448858,OO-BBX,BALL,,B0-,-
